d;D;L;l;F0;F1;Fa1;T1
10;13;4.5;3.7;6950;63;14;70
12;15;4.5;3.7;6950;75;16.7;100
13;16;4.5;3.7;6450;81.5;18.1;120
14;18;6.3;5.3;11200;126;28;200
15;19;6.3;5.3;10700;135;30;220
16;20;6.3;5.3;10100;144;31.9;250
17;21;6.3;5.3;9500;153;34;290
18;22;6.3;5.3;9100;162;36;320
19;24;6.3;5.3;12600;171;37.9;360
20;25;6.3;5.3;12000;180;40;400
22;26;6.3;5.3;9000;198;44;480
24;28;6.3;5.3;8300;216;48;580
25;30;6.3;5.3;9900;225;50;620
28;32;6.3;5.3;7400;252;56;780
30;34;6.3;5.3;8500;270;60;900
32;36;6.3;5.3;7800;288;64;1000
35;40;7;6;10100;356;79;1400
36;42;7;6;11600;366;82;1500
38;44;7;6;11000;387;86;1600
40;45;8;6.6;13800;450;99.5;2000
42;48;8;6.6;15600;470;104;2200
45;52;10;8.6;28200;660;146;3300
48;55;10;8.6;24600;700;156;3700
50;57;10;8.6;23500;730;162;4000
55;62;10;8.6;21800;800;178;4900
56;64;12;10.4;29400;990;220;6100
60;68;12;10.4;27400;1060;235;7000
63;71;12;10.4;26300;1110;248;7800
65;73;12;10.4;25400;1150;255;8300
70;79;14;12.2;31000;1450;320;11200
71;80;14;12.2;31000;1470;326;11600
75;84;14;12.2;34600;1550;344;12900
80;91;17;15;48000;2030;450;18100
85;96;17;15;45600;2160;480;20400
90;101;17;15;43400;2290;510;22900
95;106;17;15;41200;2420;540;25500
100;114;21;18.7;60700;3170;700;35200
110;124;21;18.7;66000;3490;770;42500
120;134;21;18.7;60200;3800;840;50500
130;148;28;25.3;96200;5580;1240;80500
140;158;28;25.3;89000;6000;1340;93500
150;168;28;25.3;84500;6430;1430;107000
