D_min;D_max;H7/f6_Umin;H7/f6_Umax;H7/s6_Umin;H7/s6_Umax;H7/t6_Umin;H7/t6_Umax;H7/u6_Umin;H7/u6_Umax;H7/v6_Umin;H7/v6_Umax;H7/z6_Umin;H7/z6_Umax;H7/z6_Umin;H7/z6_Umax;H7/z6_Umin;H7/z6_Umax;H7/z6_Umin;H7/z6_Umax;H7/z6_Umin;H7/z6_Umax
3;6;-0.003;-0.023;-0.007;-0.027;;;-0.011;-0.031;;;-0.016;-0.036;-0.023;-0.043;-0.030;-0.050;-0.038;-0.058;-0.068;-0.088
6;10;-0.004;-0.028;-0.008;-0.032;;;-0.013;-0.037;;;-0.019;-0.043;-0.027;-0.051;-0.037;-0.061;-0.052;-0.076;-0.082;-0.106
10;14;-0.004;-0.034;-0.009;-0.039;;;-0.015;-0.044;;;-0.022;-0.051;-0.032;-0.061;-0.046;-0.075;-0.072;-0.101;-0.112;-0.141
14;18;-0.005;-0.034;-0.010;-0.039;;;-0.015;-0.044;;;-0.027;-0.056;-0.041;-0.071;-0.059;-0.090;-0.090;-0.119;-0.132;-0.161
18;24;-0.007;-0.041;-0.013;-0.048;;;-0.020;-0.053;-0.029;-0.063;-0.033;-0.067;-0.052;-0.086;-0.077;-0.111;-0.115;-0.149;-0.167;-0.201
24;30;-0.007;-0.041;-0.014;-0.048;-0.020;-0.054;-0.027;-0.061;-0.029;-0.063;-0.043;-0.077;-0.067;-0.101;-0.097;-0.131;-0.139;-0.173;-0.197;-0.231
30;40;-0.009;-0.050;-0.018;-0.059;-0.023;-0.064;-0.035;-0.076;-0.048;-0.089;-0.055;-0.096;-0.087;-0.128;-0.123;-0.164;-0.175;-0.216;-0.249;-0.290
40;50;-0.009;-0.050;-0.018;-0.059;-0.029;-0.070;-0.045;-0.086;-0.048;-0.089;-0.080;-0.113;-0.111;-0.152;-0.155;-0.196;-0.217;-0.258;-0.309;-0.350
50;65;-0.011;-0.060;-0.023;-0.072;-0.036;-0.085;-0.057;-0.106;-0.079;-0.128;-0.092;-0.141;-0.142;-0.191;-0.196;-0.245;-0.270;-0.319;-0.370;-0.424
65;80;-0.013;-0.062;-0.029;-0.078;-0.045;-0.094;-0.072;-0.121;-0.079;-0.128;-0.116;-0.165;-0.180;-0.229;-0.244;-0.293;-0.330;-0.379;-0.450;-0.499
80;100;-0.016;-0.073;-0.036;-0.093;-0.055;-0.112;-0.088;-0.145;-0.127;-0.184;-0.143;-0.200;-0.225;-0.280;-0.300;-0.357;-0.401;-0.458;-0.550;-0.607
100;120;-0.019;-0.076;-0.044;-0.101;-0.069;-0.126;-0.109;-0.166;-0.127;-0.184;-0.173;-0.232;-0.275;-0.332;-0.365;-0.422;-0.490;-0.547;-0.655;-0.712
120;140;-0.023;-0.088;-0.052;-0.117;-0.082;-0.147;-0.130;-0.195;-0.185;-0.240;-0.208;-0.275;-0.325;-0.390;-0.430;-0.495;-0.580;-0.645;-0.760;-0.825
140;160;-0.025;-0.090;-0.060;-0.125;-0.094;-0.159;-0.150;-0.215;-0.185;-0.240;-0.240;-0.305;-0.375;-0.440;-0.495;-0.560;-0.660;-0.725;-0.860;-0.925
160;180;-0.028;-0.093;-0.068;-0.133;-0.106;-0.171;-0.170;-0.235;-0.185;-0.240;-0.270;-0.335;-0.425;-0.490;-0.560;-0.625;-0.740;-0.805;-0.960;-1.025
180;200;-0.031;-0.106;-0.076;-0.151;-0.120;-0.185;-0.191;-0.265;-0.264;-0.339;-0.304;-0.379;-0.474;-0.549;-0.624;-0.699;-0.834;-0.909;-1.104;-1.179
200;225;-0.034;-0.109;-0.084;-0.159;-0.134;-0.209;-0.212;-0.287;-0.264;-0.339;-0.339;-0.414;-0.529;-0.604;-0.694;-0.769;-0.914;-0.989;-1.204;-1.279
225;250;-0.038;-0.113;-0.094;-0.169;-0.150;-0.225;-0.235;-0.313;-0.264;-0.339;-0.379;-0.454;-0.594;-0.669;-0.774;-0.849;-1.004;-1.079;-1.304;-1.379
250;280;-0.042;-0.126;-0.106;-0.190;-0.166;-0.250;-0.263;-0.347;-0.348;-0.432;-0.425;-0.507;-0.658;-0.742;-0.868;-0.952;-1.148;-1.232;-1.498;-1.582
280;315;-0.046;-0.130;-0.118;-0.202;-0.188;-0.272;-0.298;-0.382;-0.348;-0.432;-0.473;-0.557;-0.738;-0.822;-0.942;-1.052;-1.248;-1.332;-1.648;-1.732
315;355;-0.051;-0.144;-0.133;-0.226;-0.211;-0.304;-0.333;-0.426;-0.443;-0.536;-0.533;-0.626;-0.843;-0.936;-1.093;-1.186;-1.443;-1.536;-1.943;-2.036
355;400;-0.057;-0.150;-0.151;-0.244;-0.237;-0.330;-0.375;-0.471;-0.443;-0.536;-0.603;-0.696;-0.943;-1.036;-1.243;-1.336;-1.593;-1.686;-2.043;-2.136
400;450;-0.063;-0.166;-0.169;-0.272;-0.267;-0.370;-0.427;-0.530;-0.557;-0.600;-0.677;-0.780;-1.037;-1.140;-1.387;-1.490;-1.787;-1.890;-2.337;-2.440
450;500;-0.069;-0.172;-0.189;-0.292;-0.297;-0.400;-0.477;-0.580;-0.557;-0.600;-0.757;-0.860;-1.187;-1.290;-1.537;-1.640;-1.987;-2.090;-2.537;-2.640
